"drug","n_users","is_combination","n_components","boustani_score","boustani_max","iacb_score","iacb_max","b_found","i_found","b_unresolved","i_unresolved","b_syn","i_syn","boustani_status","iacb_status","on_both"
"carvedilol",63,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"lovastatin",59,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"insulin glargine",55,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"citalopram",53,FALSE,1,0,0,1,1,1,1,0,0,FALSE,FALSE,"a. confirmed score zero","b. exact match",TRUE
"hydrochlorothiazide; lisinopril",51,TRUE,2,0,0,0,0,0,0,2,2,FALSE,FALSE,"d. combination, no component on list (scores 0)","d. combination, no component on list (scores 0)",FALSE
"ranitidine",51,FALSE,1,1,1,1,1,1,1,0,0,FALSE,FALSE,"b. exact match","b. exact match",TRUE
"esomeprazole",50,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"allopurinol",49,FALSE,1,0,0,0,0,0,1,1,0,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","a. confirmed score zero",FALSE
"finasteride",47,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"tramadol",47,FALSE,1,0,0,2,2,1,1,0,0,FALSE,FALSE,"a. confirmed score zero","b. exact match",TRUE
"valsartan",46,FALSE,1,0,0,1,1,0,1,1,0,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","b. exact match",FALSE
"acetaminophen; hydrocodone",42,TRUE,2,0,0,0,0,1,0,1,2,FALSE,FALSE,"c. combination, partly on list","d. combination, no component on list (scores 0)",FALSE
"aspirin",40,FALSE,1,0,0,0,0,1,0,0,1,FALSE,FALSE,"a. confirmed score zero","d. unlisted, identifiable (scores 0)",FALSE
"fluticasone; salmeterol",40,TRUE,2,0,0,0,0,2,0,0,2,FALSE,FALSE,"c. combination, all components on list","d. combination, no component on list (scores 0)",FALSE
"glyburide",40,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"alprazolam",37,FALSE,1,1,1,2,2,1,1,0,0,FALSE,FALSE,"b. exact match","b. exact match",TRUE
"diltiazem",36,FALSE,1,0,0,0,0,1,1,0,0,FALSE,FALSE,"a. confirmed score zero","a. confirmed score zero",TRUE
"pioglitazone",36,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"sertraline",36,FALSE,1,0,0,1,1,1,1,0,0,FALSE,FALSE,"a. confirmed score zero","b. exact match",TRUE
"digoxin",34,FALSE,1,1,1,0,0,1,0,0,1,FALSE,FALSE,"b. exact match","d. unlisted, identifiable (scores 0)",FALSE
"alendronate",33,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"clonidine",32,FALSE,1,0,0,0,0,1,0,0,1,FALSE,FALSE,"a. confirmed score zero","d. unlisted, identifiable (scores 0)",FALSE
"glimepiride",32,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"nifedipine",32,FALSE,1,1,1,1,1,1,1,0,0,FALSE,FALSE,"b. exact match","b. exact match",TRUE
"prednisone",32,FALSE,1,1,1,2,2,1,1,0,0,FALSE,FALSE,"b. exact match","b. exact match",TRUE
"terazosin",32,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"naproxen",31,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"pantoprazole",31,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"doxazosin",30,FALSE,1,0,0,0,0,1,0,0,1,FALSE,FALSE,"a. confirmed score zero","d. unlisted, identifiable (scores 0)",FALSE
"fluticasone nasal",30,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"99999",29,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"enalapril",29,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"hydralazine",29,FALSE,1,1,1,0,0,1,0,0,1,FALSE,FALSE,"b. exact match","d. unlisted, identifiable (scores 0)",FALSE
"hydrochlorothiazide; losartan",29,TRUE,2,0,0,0,0,0,0,2,2,FALSE,FALSE,"d. combination, no component on list (scores 0)","d. combination, no component on list (scores 0)",FALSE
"hydrochlorothiazide; triamterene",29,TRUE,2,1,1,0,0,1,0,1,2,FALSE,FALSE,"c. combination, partly on list","d. combination, no component on list (scores 0)",FALSE
"insulin aspart",27,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"cyclobenzaprine",26,FALSE,1,2,2,2,2,1,1,0,0,FALSE,FALSE,"b. exact match","b. exact match",TRUE
"sitagliptin",26,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"donepezil",25,FALSE,1,0,0,0,0,1,0,0,1,FALSE,FALSE,"a. confirmed score zero","d. unlisted, identifiable (scores 0)",FALSE
"fenofibrate",25,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"montelukast",25,FALSE,1,0,0,1,1,0,1,1,0,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","b. exact match",FALSE
"olmesartan",25,FALSE,1,0,0,1,1,0,1,1,0,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","b. exact match",FALSE
"zolpidem",25,FALSE,1,0,0,0,0,1,0,0,1,FALSE,FALSE,"a. confirmed score zero","d. unlisted, identifiable (scores 0)",FALSE
"isosorbide mononitrate",24,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"latanoprost ophthalmic",24,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"benazepril",23,FALSE,1,0,0,1,1,1,1,0,0,FALSE,FALSE,"a. confirmed score zero","b. exact match",TRUE
"hydrochlorothiazide; valsartan",23,TRUE,2,0,0,1,1,0,1,2,1,FALSE,FALSE,"d. combination, no component on list (scores 0)","c. combination, partly on list",FALSE
"paroxetine",23,FALSE,1,3,3,1,1,1,1,0,0,FALSE,FALSE,"b. exact match","b. exact match",TRUE
"tiotropium",23,FALSE,1,0,0,0,0,1,0,0,1,FALSE,FALSE,"a. confirmed score zero","d. unlisted, identifiable (scores 0)",FALSE
"trazodone",23,FALSE,1,1,1,1,1,1,1,0,0,FALSE,FALSE,"b. exact match","b. exact match",TRUE
"ezetimibe",22,FALSE,1,0,0,0,0,0,1,1,0,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","a. confirmed score zero",FALSE
"fexofenadine",22,FALSE,1,0,0,4,4,1,1,0,0,FALSE,FALSE,"a. confirmed score zero","b. exact match",TRUE
"spironolactone",22,FALSE,1,0,0,0,0,0,1,1,0,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","a. confirmed score zero",FALSE
"escitalopram",21,FALSE,1,0,0,1,1,1,1,0,0,FALSE,FALSE,"a. confirmed score zero","b. exact match",TRUE
"lansoprazole",21,FALSE,1,0,0,0,0,1,0,0,1,FALSE,FALSE,"a. confirmed score zero","d. unlisted, identifiable (scores 0)",FALSE
"bupropion",20,FALSE,1,1,1,1,1,1,1,0,0,FALSE,FALSE,"b. exact match","b. exact match",TRUE
"celecoxib",20,FALSE,1,0,0,1,1,1,1,0,0,FALSE,FALSE,"a. confirmed score zero","b. exact match",TRUE
"ezetimibe; simvastatin",20,TRUE,2,0,0,0,0,0,1,2,1,FALSE,FALSE,"d. combination, no component on list (scores 0)","c. combination, partly on list",FALSE
"fluoxetine",20,FALSE,1,0,0,1,1,1,1,0,0,FALSE,FALSE,"a. confirmed score zero","b. exact match",TRUE
"ibuprofen",20,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"amitriptyline",19,FALSE,1,3,3,4,4,1,1,0,0,FALSE,FALSE,"b. exact match","b. exact match",TRUE
"lorazepam",19,FALSE,1,0,0,2,2,1,1,0,0,FALSE,FALSE,"a. confirmed score zero","b. exact match",TRUE
"oxycodone",19,FALSE,1,0,0,2,2,1,1,0,0,FALSE,FALSE,"a. confirmed score zero","b. exact match",TRUE
"meloxicam",18,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"omega-3 polyunsaturated fatty acids",18,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"amlodipine; benazepril",17,TRUE,2,0,0,1,1,2,1,0,1,FALSE,FALSE,"c. combination, all components on list","c. combination, partly on list",TRUE
"famotidine",17,FALSE,1,0,0,1,1,1,1,0,0,FALSE,FALSE,"a. confirmed score zero","b. exact match",TRUE
"nitroglycerin",17,FALSE,1,0,0,0,0,0,1,1,0,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","a. confirmed score zero",FALSE
"estradiol",16,FALSE,1,0,0,0,0,0,1,1,0,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","a. confirmed score zero",FALSE
"hydrochlorothiazide; olmesartan",16,TRUE,2,0,0,1,1,0,1,2,1,FALSE,FALSE,"d. combination, no component on list (scores 0)","c. combination, partly on list",FALSE
"insulin detemir",16,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"meclizine",16,FALSE,1,3,3,4,4,1,1,0,0,FALSE,FALSE,"b. exact match","b. exact match",TRUE
"ramipril",16,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"timolol ophthalmic",16,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"brimonidine ophthalmic",15,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"gemfibrozil",15,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"oxybutynin",15,FALSE,1,3,3,4,4,1,1,0,0,FALSE,FALSE,"b. exact match","b. exact match",TRUE
"clonazepam",14,FALSE,1,0,0,2,2,1,1,0,0,FALSE,FALSE,"a. confirmed score zero","b. exact match",TRUE
"dutasteride",14,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"venlafaxine",14,FALSE,1,1,1,1,1,1,1,0,0,FALSE,FALSE,"b. exact match","b. exact match",TRUE
"albuterol; ipratropium",13,TRUE,2,0,0,1,1,1,2,1,0,FALSE,TRUE,"c. combination, partly on list","c. combination, all components on list",TRUE
"amiodarone",13,FALSE,1,0,0,0,0,1,0,0,1,FALSE,FALSE,"a. confirmed score zero","d. unlisted, identifiable (scores 0)",FALSE
"bumetanide",13,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"docusate",13,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"niacin",13,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"propranolol",13,FALSE,1,0,0,0,0,1,1,0,0,FALSE,FALSE,"a. confirmed score zero","a. confirmed score zero",TRUE
"travoprost ophthalmic",13,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"acyclovir",12,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"insulin regular",12,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"isosorbide",12,FALSE,1,1,1,0,0,1,0,0,1,FALSE,FALSE,"b. exact match","d. unlisted, identifiable (scores 0)",FALSE
"metformin; sitagliptin",12,TRUE,2,0,0,1,1,1,1,1,1,FALSE,FALSE,"c. combination, partly on list","c. combination, partly on list",TRUE
"quinapril",12,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"acetaminophen; oxycodone",11,TRUE,2,0,0,2,2,1,1,1,1,FALSE,FALSE,"c. combination, partly on list","c. combination, partly on list",TRUE
"cetirizine",11,FALSE,1,1,1,4,4,1,1,0,0,FALSE,FALSE,"b. exact match","b. exact match",TRUE
"conjugated estrogens",11,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"duloxetine",11,FALSE,1,0,0,0,0,1,1,0,0,FALSE,FALSE,"a. confirmed score zero","a. confirmed score zero",TRUE
"hydrocodone",11,FALSE,1,0,0,0,0,1,0,0,1,FALSE,FALSE,"a. confirmed score zero","d. unlisted, identifiable (scores 0)",FALSE
"memantine",11,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"alfuzosin",10,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"amlodipine; valsartan",10,TRUE,2,0,0,1,1,1,1,1,1,FALSE,FALSE,"c. combination, partly on list","c. combination, partly on list",TRUE
"dorzolamide; timolol ophthalmic",10,TRUE,2,0,0,0,0,0,0,2,2,FALSE,FALSE,"d. combination, no component on list (scores 0)","d. combination, no component on list (scores 0)",FALSE
"glyburide; metformin",10,TRUE,2,0,0,1,1,1,1,1,1,FALSE,FALSE,"c. combination, partly on list","c. combination, partly on list",TRUE
"insulin isophane",10,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"insulin lispro",10,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"mirtazapine",10,FALSE,1,0,0,1,1,1,1,0,0,FALSE,FALSE,"a. confirmed score zero","b. exact match",TRUE
"quetiapine",10,FALSE,1,3,3,3,3,1,1,0,0,FALSE,FALSE,"b. exact match","b. exact match",TRUE
"verapamil",10,FALSE,1,0,0,0,0,1,0,0,1,FALSE,FALSE,"a. confirmed score zero","d. unlisted, identifiable (scores 0)",FALSE
"amoxicillin",9,FALSE,1,0,0,0,0,1,1,0,0,FALSE,FALSE,"a. confirmed score zero","a. confirmed score zero",TRUE
"bimatoprost ophthalmic",9,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"chlorthalidone",9,FALSE,1,0,0,1,1,0,1,1,0,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","b. exact match",FALSE
"diphenhydramine",9,FALSE,1,3,3,4,4,1,1,0,0,FALSE,FALSE,"b. exact match","b. exact match",TRUE
"felodipine",9,FALSE,1,0,0,0,0,0,1,1,0,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","a. confirmed score zero",FALSE
"fluticasone",9,FALSE,1,0,0,0,0,1,0,0,1,FALSE,FALSE,"a. confirmed score zero","d. unlisted, identifiable (scores 0)",FALSE
"metolazone",9,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"pregabalin",9,FALSE,1,0,0,0,0,1,0,0,1,FALSE,FALSE,"a. confirmed score zero","d. unlisted, identifiable (scores 0)",FALSE
"raloxifene",9,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"ropinirole",9,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"temazepam",9,FALSE,1,0,0,2,2,1,1,0,0,FALSE,FALSE,"a. confirmed score zero","b. exact match",TRUE
"acetaminophen; codeine",8,TRUE,2,1,1,0,0,1,0,1,2,FALSE,FALSE,"c. combination, partly on list","d. combination, no component on list (scores 0)",FALSE
"aspirin; dipyridamole",8,TRUE,2,1,1,1,1,2,1,0,1,FALSE,FALSE,"c. combination, all components on list","c. combination, partly on list",TRUE
"budesonide; formoterol",8,TRUE,2,0,0,0,0,1,0,1,2,FALSE,FALSE,"c. combination, partly on list","d. combination, no component on list (scores 0)",FALSE
"buspirone",8,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"carbidopa; levodopa",8,TRUE,2,0,0,0,0,2,2,0,0,FALSE,FALSE,"c. combination, all components on list","c. combination, all components on list",TRUE
"fenofibric acid",8,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"hydroxyzine",8,FALSE,1,3,3,4,4,1,1,0,0,FALSE,FALSE,"b. exact match","b. exact match",TRUE
"ibandronate",8,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"indomethacin",8,FALSE,1,0,0,0,0,0,1,1,0,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","a. confirmed score zero",FALSE
"ipratropium",8,FALSE,1,0,0,1,1,1,1,0,0,FALSE,FALSE,"a. confirmed score zero","b. exact match",TRUE
"levetiracetam",8,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"metoclopramide",8,FALSE,1,0,0,1,1,1,1,0,0,FALSE,FALSE,"a. confirmed score zero","b. exact match",TRUE
"nortriptyline",8,FALSE,1,3,3,4,4,1,1,0,0,FALSE,FALSE,"b. exact match","b. exact match",TRUE
"pramipexole",8,FALSE,1,0,0,1,1,1,1,0,0,FALSE,FALSE,"a. confirmed score zero","b. exact match",TRUE
"risperidone",8,FALSE,1,1,1,3,3,1,1,0,0,FALSE,FALSE,"b. exact match","b. exact match",TRUE
"sevelamer",8,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"amlodipine; olmesartan",7,TRUE,2,0,0,1,1,1,1,1,1,FALSE,FALSE,"c. combination, partly on list","c. combination, partly on list",TRUE
"budesonide",7,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"colchicine",7,FALSE,1,1,1,0,0,1,0,0,1,FALSE,FALSE,"b. exact match","d. unlisted, identifiable (scores 0)",FALSE
"dexlansoprazole",7,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"diclofenac",7,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"insulin",7,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"irbesartan",7,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"labetalol",7,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"methotrexate",7,FALSE,1,0,0,0,0,1,0,0,1,FALSE,FALSE,"a. confirmed score zero","d. unlisted, identifiable (scores 0)",FALSE
"mometasone nasal",7,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"mycophenolate mofetil",7,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"nabumetone",7,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"rabeprazole",7,FALSE,1,0,0,0,0,1,1,0,0,FALSE,FALSE,"a. confirmed score zero","a. confirmed score zero",TRUE
"sulfamethoxazole; trimethoprim",7,TRUE,2,0,0,0,0,0,1,2,1,FALSE,FALSE,"d. combination, no component on list (scores 0)","c. combination, partly on list",FALSE
"telmisartan",7,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"thyroid desiccated",7,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"tolterodine",7,FALSE,1,3,3,4,4,1,1,0,0,FALSE,FALSE,"b. exact match","b. exact match",TRUE
"amoxicillin; clavulanate",6,TRUE,2,0,0,0,0,1,1,1,1,FALSE,FALSE,"c. combination, partly on list","c. combination, partly on list",TRUE
"brimonidine; timolol ophthalmic",6,TRUE,2,0,0,0,0,0,0,2,2,FALSE,FALSE,"d. combination, no component on list (scores 0)","d. combination, no component on list (scores 0)",FALSE
"carisoprodol",6,FALSE,1,0,0,2,2,1,1,0,0,FALSE,FALSE,"a. confirmed score zero","b. exact match",TRUE
"colesevelam",6,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"dorzolamide ophthalmic",6,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"formoterol",6,FALSE,1,0,0,0,0,1,0,0,1,FALSE,FALSE,"a. confirmed score zero","d. unlisted, identifiable (scores 0)",FALSE
"fosinopril",6,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
"hydroxychloroquine",6,FALSE,1,0,0,0,0,0,0,1,1,FALSE,FALSE,"d. unlisted, identifiable (scores 0)","d. unlisted, identifiable (scores 0)",FALSE
